"Network","All","Most-spiked per patch","Most-spiked overall","Correlation clustering"
"_10000_none_10_6_50_16_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",46.37,47.48,54.18,54.8
"_10000_none_27_1_50_4_weight_dependence_postpre_weight_sharing_8_0.0.npy",59.06,60.01,61.7,62.94
"_10000_none_12_4_100_25_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",62.02,67.3,72.96,70.03
"_10000_all_14_2_50_64_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",80.5,80.01,78.61,76.09
"_10000_pairs_14_2_50_64_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",84.32,83.17,82.32,80.31
"_10000_pairs_12_2_50_81_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",83.31,81.31,80.56,80.58
"_10000_all_8_2_50_121_weight_dependence_postpre_weight_sharing_8_0.0.npy",58.71,60.81,64.78,48.85
"_10000_all_12_4_100_25_weight_dependence_postpre_weight_sharing_4_0.0.npy",62.58,71.97,74.89,71.03
"_10000_none_24_2_50_9_weight_dependence_postpre_weight_sharing_8_0.0.npy",68.24,68.55,70.17,71.7
"_10000_pairs_14_2_50_64_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",83.37,82.02,81.1,80.74
"_10000_none_8_4_50_36_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",57.35,58.71,68.64,66.85
"_10000_none_16_4_100_16_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",61.29,71.74,71.78,75.37
"_10000_none_16_4_50_16_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",53.52,65.78,66.85,69.86
"_10000_none_14_2_50_64_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",84.21,82.82,82.05,81.82
"_10000_pairs_10_2_50_100_weight_dependence_postpre_weight_sharing_8_0.0.npy",62.92,63.86,68.33,41.67
"_10000_all_20_2_50_25_weight_dependence_postpre_weight_sharing_8_0.0.npy",57.97,63.51,66.24,68.81
"_10000_none_8_2_50_121_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",80.21,76.69,73.83,79.57
"_10000_all_27_1_100_4_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",74,74.05,72.7,69.33
"_10000_none_12_4_100_25_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",86.68,84.82,83.49,85.96
"_10000_none_18_2_50_36_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",78.93,78.76,76.41,77.3
