"Model","all","confidence_weighting","most_spiked_location","most_spiked_patch","top_percent"
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.0_30000_1_True_0.75",77.76,78.22,76.6,77.5,76.9
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.25_30000_1_True_0.75",77.73,78.45,75.05,77.21,75.73
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.2_30000_1_True_0.75",77.52,77.98,74.3,77.13,76.97
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.25_30000_2_True_0.75",77.5,77.47,76.31,77.18,76.03
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.05_30000_2_True_0.75",77.37,76.89,75.08,77.12,75.99
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.25_30000_1_True_0.75",77.34,77.84,74.57,76.23,74.88
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.15_30000_2_True_0.75",77.21,77.76,76.24,75.94,75.51
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.1_30000_3_True_0.75",77.06,76.77,76.14,77.16,76.73
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.075_30000_1_True_0.75",76.89,77.86,76.04,77.13,76.29
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.0_30000_1_True_0.75",76.89,77.21,77.26,76.81,75.75
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.15_30000_3_True_0.75",76.87,76.41,73.27,76.58,76.34
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.15_30000_3_True_0.75",76.81,77.92,74.38,76.41,75.8
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.075_30000_3_True_0.75",76.74,76.99,75.31,76.21,75.9
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.15_30000_2_True_0.75",76.72,76.76,74.62,76.02,74.98
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.125_30000_1_True_0.75",76.7,76.79,75.35,77.18,75.84
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_3_True_0.75",76.68,76.24,74.59,77.67,76.23
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.2_30000_2_True_0.75",76.68,75.95,75.01,76.15,74.61
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.075_30000_3_True_0.75",76.64,77.39,74.79,76.63,76.02
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.125_30000_3_True_0.75",76.58,76.38,74.74,76.49,75.16
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.05_30000_3_True_0.75",76.55,74.94,75.79,76.28,75.41
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.15_30000_1_True_0.75",76.5,77.17,74.28,76.27,75.69
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.1_30000_1_True_0.75",76.47,77.49,75.51,76.9,76.82
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.075_30000_2_True_0.75",76.44,76.09,73.4,76.61,75.98
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.15_30000_2_True_0.75",76.42,76.5,75.67,76.86,76.61
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.1_30000_3_True_0.75",76.41,76.46,74.17,76.59,76.25
